Version,3.0.0,,,,,,,,
translationID,lang,partID,partLabel,partDesc,partInstr,firstReleased,lastUpdated,changes,notes
frahealthAdm,fra,healthAdm,Administration de la santé ou agence de planification,Organisme d'administration ou de planification de la santé. ,NA,2.0.0,2.0.0,added in V2.0.0,
frahealthRegion,fra,healthRegion,Région de santé d'un site,Variable de texte libre permettant d'énumérer la région de santé d'un site donné.,NA,2.1.0,2.1.0,added in V2.1.0,
fraheatInacSARS,fra,heatInacSARS,Cible de virus SRAS-CoV-2 inactivé par la chaleur,Le virus SARS-CoV-2 inactivé par la chaleur est utilisé comme cible de contrôle de l'efficacité de la récupération.,NA,2.0.0,2.0.0,added in V2.0.0,
frahel,fra,hel,Gène hel du SARS-CoV-2 (nsp13),Gène hel du SARS-CoV-2 (nsp13),NA,3.0.0,3.0.0,added in V3.0.15,
frahepA,fra,hepA,Hépatite A,Hépatite A,NA,2.2.0,2.2.0,added in V2.2.0,
frahepB,fra,hepB,Hépatite B,Hépatite B,NA,2.2.0,2.2.0,added in V2.2.0,
frahepC,fra,hepC,Hépatite C,Hépatite C,NA,2.2.0,2.2.0,added in V2.2.0,
frahepE,fra,hepE,Hépatite E,Hépatite E,NA,2.2.0,2.2.0,added in V2.2.0,
frahepGRna,fra,hepGRna,rna blindé de l'hep g,Mesure de la quantité d'ARN blindé de l'hépatite G.,NA,2.0.0,2.0.0,added in V2.0.0,
frahepGRnaMat,fra,hepGRnaMat,Cible de rna blindé hep g,L'ARN blindé de l'hépatite G est utilisé comme cible de contrôle de l'efficacité de la récupération.,NA,2.0.0,2.0.0,added in V2.0.0,
frahepGrp,fra,hepGrp,Groupe Hépatite,Un groupe de mesures/méthodes relatives aux virus de l'hépatite.,Utilisé pour décrire les informations sur l'organisme pour les mesures générales.,2.2.0,2.2.0,added in V2.2.0,
fraherpesGrp,fra,herpesGrp,Groupe des virus de l'herpès,Un groupe de mesures/méthodes relatives aux virus de l'herpès.,Utilisé pour décrire les informations sur l'organisme pour les mesures générales.,2.2.0,2.2.0,added in V2.2.0,
frahf183,fra,hf183,HF183 Bacteriodes 16S,ARNr de HF183 Bactériodes 16S spécifiques à l’homme,NA,2.2.0,2.2.0,added in V2.2.0,
frahFr,fra,hFr,Voir l'en-tête pour la fraction analysée,Un indicateur dans les noms larges pour montrer que les informations sur la fraction analysée se trouvent dans un en-tête séparé.,Valeur non valide pour la fraction analysée dans le format long standard.,2.2.0,2.2.0,added in V2.2.0,
frahiaa5,fra,hiaa5,Acide 5-hydroxyindoleacétique (5-HIAA),"Un métabolite de la sérotonine utilisé pour normaliser le signal de surveillance des eaux usées. L'analyse du 5-HIAA est effectuée en milieu clinique pour évaluer la possibilité d'un syndrome carcinoïde chez les patients, et utilisée dans l'analyse des eaux usées pour estimer le nombre d'individus dans une population humaine. Des études ont montré que le 5-HIAA peut être quantifié dans des échantillons provenant de stations d'épuration des eaux usées, et que les quantités mesurées de cette molécule ont une corrélation positive avec la population calculée à l'aide de paramètres hydrochimiques, et sont également bien corrélées avec les mesures de population issues du recensement.",NA,2.2.0,2.2.0,added in V2.2.0,
frahigh,fra,high,Très grave,"Indique un problème de qualité très grave, ce qui signifie probablement que les données ne doivent pas être communiquées.",NA,2.0.0,2.0.0,added in V2.0.0,
frahInfluenzae,fra,hInfluenzae,Haemophilus influenzae,Haemophilus influenzae,NA,2.2.0,2.2.0,added in V2.2.0,
frahisat2,fra,hisat2,HISAT2,"HISAT2. Un mappeur de lectures polyvalent. Successeur de TopHat, optimisé pour les données RNA-seq avec prise en compte de l'épissage. Idéal pour : les expériences RNA-seq à grande échelle.",NA,3.0.0,3.0.0,added in V3.0.0,
frahiv,fra,hiv,Virus de l'immunodéficience humaine (VIH),Virus de l'immunodéficience humaine (VIH),NA,2.2.0,2.2.0,added in V2.2.0,
frahivGrp,fra,hivGrp,Groupe VIH,Un groupe de mesures/méthodes relatives au virus de l'immunodéficience humaine (VIH).,Utilisé pour décrire les informations sur l'organisme pour les mesures générales.,2.2.0,2.2.0,added in V2.2.0,
frahlthReg,fra,hlthReg,Région de santé du réseau d'égout ,Région de santé desservie par le réseau d'égout.,NA,1.0.0,2.0.0,Name Change (from Polygon Type),
frahma,fra,hma,Mesuré à la main,Mesure é l'aide d'un capteur manuel.,NA,1.0.0,2.0.0,"description wording, structure",
frahMe,fra,hMe,Voir l'en-tête pour la mesure,Un indicateur pour montrer dans un nom large que l'information sur les mesures se trouve dans une colonne différente.,Valeur non valide pour la mesure dans le format long standard.,2.2.0,2.2.0,added in V2.2.0,
frahmpv,fra,hmpv,Métapneumovirus humain (HMPV) ,Métapneumovirus humain (HMPV),NA,2.2.0,2.2.0,added in V2.2.0,
frahollowFiberUF,fra,hollowFiberUF,Ultrafiltration par fibres creuses,Ultrafiltration par fibres creuses en cul-de-sac,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
frahomeOrder,fra,homeOrder,Ordre de confinement à domicile,"Une directive exigeant que les personnes demeurent à domicile, sauf pour les activités essentielles.",NA,3.0.0,3.0.0,added in V3.0.0,
frahorGrb,fra,horGrb,Échantillonnage horizontal à la benne,"Le type d'instrument est un échantillonneur à prélevage dans lequel le récipient destiné à l'échantillon est monté à l'extrémité d'une tige, ce qui convient pour collecter les rejets d'un tuyau ou d'un camion.",NA,3.0.0,3.0.0,added in V3.0.0,
frahosa,fra,hosa,Admissions à l'hôpital,Nombre d'admissions ou nombre de patients admis à l'hôpital.,NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
frahosc,fra,hosc,Recensement des hôpitaux,Rencensement des patients admis à un hôpital avec la COVID-19.,NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
frahosptl,fra,hosptl,Hôpital,Hépital.,NA,1.0.0,2.0.0,"description wording, structure",
frahostVersion,fra,hostVersion,Version de la plateforme/du référentiel d'hébergement des données,La version du référentiel de données ou de la plateforme d'hébergement utilisée.,NA,3.0.0,3.0.0,added in V3.0.0,
frahoTaWa,fra,hoTaWa,Eaux usées des réservoirs de stockage,"Eaux usées provenant d'un réservoir de retenue, par exemple d'un avion ou d'un bateau.","Déprécié dans la version 2, ne pas utiliser. Duplicate des catégories sampleMat - référez-vous à celles-ci.",1.0.0,2.0.0,depreciated,
frahours,fra,hours,Heures,Unité permettant d'indiquer une durée en heures.,NA,2.0.0,2.0.0,added in V2.0.0,
frahpiv,fra,hpiv,Virus de la parainfluenza humaine (HPIV),Virus de la parainfluenza humaine (HPIV),NA,2.2.0,2.2.0,added in V2.2.0,
frahpp,fra,hpp,Agent pathogène hautement prioritaire,Un organisme résistant suscitant de graves préoccupations et nécessitant une attention urgente.,NA,3.0.0,3.0.0,added in V3.0.0,
frahpv,fra,hpv,Papillomavirus humain (HPV),Papillomavirus humain (HPV),NA,2.2.0,2.2.0,added in V2.2.0,
frahrv,fra,hrv,Rhinovirus humain (HRV),Rhinovirus humain (HRV),NA,2.2.0,2.2.0,added in V2.2.0,
frahrvA,fra,hrvA,Rhinovirus humain (HRV) A,Traduit avec www.DeepL.com/Translator (version gratuite),NA,2.2.0,2.2.0,added in V2.2.0,
frahrvB,fra,hrvB,Rhinovirus humain (HRV) B,Rhinovirus humain (HRV) B,NA,2.2.0,2.2.0,added in V2.2.0,
frahrvC,fra,hrvC,Rhinovirus humain (HRV) C,Rhinovirus humain (HRV) C,NA,2.2.0,2.2.0,added in V2.2.0,
frahrvGrp,fra,hrvGrp,Groupe des rhinovirus,Un groupe de mesures/méthodes relatives aux rhinovirus.,Utilisé pour décrire les informations sur l'organisme pour les mesures générales.,2.2.0,2.2.0,added in V2.2.0,
frahSp,fra,hSp,Voir l'en-tête du spécimen,Un indicateur pour montrer dans un nom large que les informations sur les spécimens se trouvent dans une colonne différente.,Ce n'est pas une valeur valide pour le spécimen dans les modèles standard de format long.,2.2.0,2.2.0,added in V2.2.0,
frahsv,fra,hsv,Virus de l'herpès simplex,Virus de l'herpès simplex,NA,2.2.0,2.2.0,added in V2.2.0,
frahtSam,fra,htSam,Eaux usées des réservoirs de stockage,"Wastewater sampled from a holding tank, such as from an airplane or ship",NA,2.0.0,2.0.0,NA,
frahtSite,fra,htSite,Réservoir de stockage,Bassin de stockage.,NA,1.0.0,2.0.0,"description wording, structure",
frahum,fra,hum,Humaine,Une mesure ou une observation faite sur un humain.,NA,2.0.0,2.0.0,added in V2.0.0,
frahumanCompartmentSet,fra,humanCompartmentSet,Ensemble de compartiments d’humain.,Un ensemble de compartiments pour les mesures et les méthodes dans le compartiment humain.,NA,2.0.0,2.0.0,added in V2.0.0,
frahumid,fra,humid,Classe d'humidité,Spécifie une collection de mesures/méthodes liées à l'humidité.,NA,2.0.0,2.0.0,added in V2.0.0,
frahUn,fra,hUn,Voir l'en-tête pour l'unité,Un indicateur pour montrer dans un nom large que l'information sur l'unité se trouve dans une colonne différente.,Valeur non valide pour unité dans le format long standard.,2.2.0,2.2.0,added in V2.2.0,
frahusb,fra,husb,Élevage,Une activité d'élevage animal a eu lieu en amont du site d'échantillonnage.,NA,3.0.0,3.0.0,added in V3.0.0,
frahySel,fra,hySel,Méthode de sélection hybride,Sélection par hybridation dans un réseau ou une solution pour l'enrichissement de la cible génomique.,NA,3.0.0,3.0.0,added in V3.0.0,
frai1566v,fra,i1566v,i1566v cible de gène de la variante omicron,Gène cible i1566v de la variante omicron.,NA,2.0.0,2.0.0,added in V2.0.0,
frai3758v,fra,i3758v,i3758v cible de gène de la variante omicron,Gène cible i3758v de la variante omicron.,NA,2.0.0,2.0.0,added in V2.0.0,
frai82t,fra,i82t,i82t cible de gène de la variante delta,Gène cible i82t de la variante delta.,NA,2.0.0,2.0.0,added in V2.0.0,
fraibu,fra,ibu,Ibuprofène,Ibuprofène (habituellement mesuré en tant qu'indicateur chimique fécal humain),NA,2.2.0,2.2.0,added in V2.2.0,
fraicd,fra,icd,Classification internationale des maladies,Système de classification des maladies chez les humains.,NA,2.0.0,2.0.0,added in V2.0.0,
fraicu,fra,icu,Patients des unités de soins intensifs,Unités pour décrire une mesure de population des patients qui sont en soins intensifs pour une cause donnée.,Unité pour une mesure de population ou de maladie afin d'expliquer les effets cliniques au niveau de la population.,2.0.0,2.0.0,added in V2.0.0,
fraidbaUD,fra,idbaUD,IDBA-UD,Un logiciel de séquençage qui est un assembleur itératif optimisé pour la métagénomique et les ensembles de données génomiques complexes.,NA,3.0.0,3.0.0,added in V3.0.0,
frailluminaDNAprep,fra,illuminaDNAprep,Préparation d'ADN Illumina avec enrichissement,"Illumina DNA Prep with Enrichment d'Illumina. Kit de préparation de bibliothèques intégrant la préparation de bibliothèques d'ADN et l'enrichissement des régions cibles, idéal pour le séquençage ciblé.",NA,3.0.0,3.0.0,added in V3.0.0,
frain,fra,in,Raccourcis pour le tableau des instruments,Nom abrégé utilisé pour faire référence à la table contenant des informations sur les instruments.,table,2.2.2,2.2.2,added in V 2.2.2,
frainch,fra,inch,Pouce,pouce (in),NA,3.0.0,3.0.0,added in V3.0.0,
fraincSurv,fra,incSurv,Surveillance renforcée,Des efforts intensifiés pour surveiller les tendances épidémiologiques ou le décompte des cas.,NA,3.0.0,3.0.0,added in V3.0.0,
fraindex,fra,index,Index,Index de la mesure dans le cas oé la méme mesure a été prise en replicata.,NA,1.1.0,2.0.0,NA,
fraindPl,fra,indPl,Usine industrielle,"Une usine non spécifiée ailleurs - Un bâtiment ou un ensemble de bâtiments utilisés pour la fabrication, la construction, la production ou le stockage de biens, et parfois de services, et leur transformation en produits.",NA,3.0.0,3.0.0,added in V3.0.0,
fraindus,fra,indus,Activité industrielle,Une activité industrielle a eu lieu en amont du site d'échantillonnage.,NA,3.0.0,3.0.0,added in V3.0.0,
fraindusIn,fra,indusIn,Apports industriels,Pourcentage de l'apport total d'eaux usées provenant de sources industrielles.,NA,2.2.0,2.2.0,added in V2.2.0,
frainfluEqui,fra,influEqui,Équilibrage de l'affluent,Indicateur binaire indiquant si un site stocke les eaux usées influentes avant leur traitement afin d'équilibrer les débits.,NA,2.2.0,2.2.0,added in V2.2.0,
frainfPump,fra,infPump,Station de pompage des eaux usées ,Une installation qui élève et transporte les eaux usées brutes des systèmes de collecte vers les stations d'épuration.,NA,3.0.0,3.0.0,added in V3.0.0,
frainhibitionSet,fra,inhibitionSet,Ensemble d'inhibition,Ensemble de catégories pour les méthodes d'inhibition.,NA,2.0.0,2.0.0,added in V2.0.0,
frainhibMe,fra,inhibMe,Mesure d'inhibition,Paramètre permettant de signaler si une inhibition a été détectée ou non dans l'échantillon.,Mesure binaire - détecté ou non.,1.1.0,2.0.0,structure change,
frainhibMeth,fra,inhibMeth,Méthode d'inhibition,Description de la méthode utilisée pour évaluer l'inhibition moléculaire.,Description des paramètres d'inhibition.,1.0.0,2.0.0,structure change,
frainnovaprepUF,fra,innovaprepUF,Ultrafiltration Innovaprep,Ultrafiltration Innovaprep,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
frainput,fra,input,Entrée,Entrée pour une table. Indique si la pièce peut être utilisée dans une table.,"« Input » est utilisé pour indiquer si une partie peut être utilisée comme entrée dans une table (quelque chose avec partType = table).  Par exemple, covN1 est une mesure qui peut être entré le champ measureID de la table measures. Par conséquent, covN1 a la valeur « input » dans la colonne measures de la liste des pièces. Les utilisateurs d'ODM peuvent générer leur propre modèle personnalisé en modifiant la valeur « input » pour les pièces applicables à leur programme.",2.0.0,2.0.0,added in V2.0.0,
frains214epe,fra,ins214epe,Variante Omicron ins214epe Insertion,Variante Omicron ins214epe Insertion,NA,2.2.0,2.2.0,added in V2.2.0,
frainsdc,fra,insdc,Collaboration internationale sur les bases de données de séquences nucléotidiques (INSDC) Archives,"Archives de l'International Nucleotide Sequence Database Collaboration (INSDC) - comprennent souvent des entrées ENA, NCBI ou DDBJ.",NA,3.0.0,3.0.0,added in V3.0.0,
frainstituLev,fra,instituLev,Surveillance au niveau de l'établissement,La surveillance est effectuée au niveau de l'ensemble d'une institution.,NA,3.0.0,3.0.0,added in V3.0.0,
frainstrumentID,fra,instrumentID,ID de l'instrument,Identifiant unique pour l'instrument de mesure.,NA,1.1.0,2.0.0,"description wording, structure",
frainstruments,fra,instruments,Table d'instruments,La table qui contient de l'information sur les instruments.,adapter de la documentation de la version 1,1.0.0,2.0.0,"description wording, structure",
frainstrumentsOrder,fra,instrumentsOrder,Ordre des colonnes du tableau des instruments,Spécifie l'ordre des colonnes dans le table d'instruments.,NA,2.0.0,2.0.0,added in V2.0.0,
frainstrumentsRequired,fra,instrumentsRequired,Exigences de la table des instruments,Spécifie les colonnes requises dans une table Instruments.,NA,2.0.0,2.0.0,added in V2.0.0,
frainstrumentTypeOther,fra,instrumentTypeOther,Autre instrument,"Autre type de site. Ajouter une description dans ""typeOther"".",NA,1.0.0,2.0.0,"description wording, structure, one of the two ""other"" field that was not depricated in the transition from V1 to V2",
frainsType,fra,insType,Type d'instrument,Type d'instrument utilisé pour effectuer la mesure.,NA,1.0.0,2.0.0,none,
frainsTypeOth,fra,insTypeOth,Autre type d'instrument,Description de l'instrument au cas où il ne serait pas répertorié dans instrumentType.,NA,1.0.0,2.0.0,"none, one of the two ""other"" field that was not depricated in the transition from V1 to V2",
frainsTypeSet,fra,insTypeSet,Ensemble de catégories pour les instruments.,Liste des instruments utilisés pour les mesures et les méthodes,NA,2.0.0,2.0.0,added in V2.0.0,
fraintAMRGrp,fra,intAMRGrp,Groupe de résistance antimicrobienne à l'intégrase,Groupe des mesures et méthodes relatives à la résistance antimicrobienne liée à l'intégrase.,NA,2.1.0,2.1.0,added in V2.1.0,
frainteger,fra,integer,Type de données Entier,Le type de données pour les entiers.,Utilisé uniquement pour les entrées du dictionnaire relatives aux parties.,2.0.0,2.0.0,added in V2.0.0,
fraintegraseCl1,fra,integraseCl1,Cible du gène de l'intégrase de classe I,Cible du gène de la résistance antimicrobienne Integrase.,NA,2.2.0,2.2.0,added in V2.2.0,
frainter,fra,inter,Interception,Valeur d'interception de la courbe d'étalonnage.,"Utilisé pour stocker des informations sur la courbe d'étalonnage, potentiellement applicable aussi pour d'autres types de courbes.",2.0.0,2.0.0,added in V2.0.0,
frainternalRef,fra,internalRef,Référence interne,Référence à une base de données interne (c'est-à-dire privée) au sein de l'organisation de l'utilisateur.,NA,3.0.0,3.0.0,added in V3.0.0,
frainternatSurv,fra,internatSurv,Surveillance des hubs de transport internationaux,"Stratégie de surveillance dans laquelle les eaux usées produites dans les centres de transport ou les véhicules de transport sont contrôlées, en lien avec les voyages internationaux.",NA,3.0.0,3.0.0,added in V3.0.0,
fraip2ip4,fra,ip2ip4,Cible génétique combinée ip2 et ip4 sars-cov-2,Gène cible combiné ip2 et ip4 de SRAS-CoV-2.,NA,2.0.0,2.0.0,added in V2.0.0,
fraiqTree,fra,iqTree,Logiciel IQ-TREE,Outil logiciel d'analyse de lignées ou de clades permettant de construire des arbres phylogénétiques avec prise en charge des clades.,NA,3.0.0,3.0.0,added in V3.0.0,
fraisc,fra,isc,ISC,La licence de la mesure ou de l'ensemble de données est gérée sous la licence ISC.,NA,2.2.0,2.2.0,added in V2.2.0,
fraiso6391,fra,iso6391,ISO639-1,"La première partie de la série de normes internationales ISO 639 pour les codes de langue. La première partie couvre l'enregistrement des codes à deux lettres. En juin 2021, 183 codes à deux lettres étaient enregistrés. Les codes enregistrés couvrent les principales langues du monde.",Partie des metedata d'un languageID.,2.0.0,2.0.0,added in V2.0.0,
fraiso6392B,fra,iso6392B,ISO639-2B,"Ensemble de normes internationales qui répertorie les codes courts pour les noms de langues. Ces codes ISO639-2 sont les codes à trois lettres définis dans la deuxième partie (ISO 639-2) de la norme, y compris les codes à deux lettres correspondants (ISO 639-1) lorsqu'ils existent. Le “B"" spécifie le code bibliographique (code B).",Partie des metedata d’un languageID.,2.0.0,3.0.0,removed from languages table to avoid duplication of identical values across columns.,
fraiso6392T,fra,iso6392T,ISO639-2T,"Un ensemble de normes internationales qui répertorie les codes courts pour les noms de langues. Ces ISO639-2 sont les codes à trois lettres définis dans la deuxième partie (ISO 639-2) de la norme, y compris les codes à deux lettres correspondants (ISO 639-1) lorsqu'ils existent. Le ""T"" indique le code terminologique (code T).",Partie des metedata d’un languageID.,2.0.0,2.0.0,added in V2.0.0,
fraiso6393,fra,iso6393,ISO639-3,Un ensemble de normes internationales qui énumère les codes courts pour les noms de langues. L'ISO 639-3 étend les codes alpha-3 de l'ISO 639-2 dans le but de couvrir toutes les langues naturelles connues.,Partie des metedata d’un languageID.,2.0.0,3.0.0,removed from languages table to avoid duplication of identical values across columns.,
fraiso6396,fra,iso6396,ISO639-6,"Un ensemble de normes internationales qui énumère les codes courts pour les noms de langues. La norme ISO 639-6 s'appuie sur la norme ISO 639-3 en utilisant des codes à quatre lettres et en permettant aux utilisateurs de différencier les variantes des langues et des familles de langues, comme les versions historiques et les versions réactivées des langues.",Partie des metedata d’un languageID.,2.0.0,3.0.0,removed from languages table to avoid duplication of identical values across columns.,
fraisoCode,fra,isoCode,Code de pays de l'ISO 3166-1 alpha-2,"Le code ISO 3166-1 alpha-2, un code de pays à deux lettres qui est également utilisé pour créer le code de sous-division de pays ISO 3166-2 et le domaine de premier niveau du code de pays Internet.","Préprogrammés dans les tables du dictionnaire, ils ne sont pas modifiables par les utilisateurs.",2.1.0,3.0.0,"removed as a ""template"" input in addresses, as is a synonym for the ""country"" field anyway.",
fraisoCodeX,fra,isoCodeX,Code de pays de l'ISO 3166-1 alpha-3,"Le code ISO 3166-1 alpha-3, un code de pays à trois lettres qui peut permettre une meilleure association visuelle entre le code et les noms de pays que le code 3166-1 alpha-2.","Préprogrammés dans les tables du dictionnaire, ils ne sont pas modifiables par les utilisateurs.",2.1.0,2.1.0,added in V2.1.0,
fraisoZone,fra,isoZone,Code ISO 3166-2 pour les sous-domaines d'un pays,"Les codes de l'ISO 3166-2 pour les noms des principales sous-divisions (par exemple, provinces, états, départements, régions) de tous les pays codés dans l'ISO 3166-1.","Préprogrammés dans les tables du dictionnaire, ils ne sont pas modifiables par les utilisateurs.",2.1.0,3.0.0,"removed as a ""template"" input in addresses, as is a synonym for the ""stateProvReg"" field anyway.",
fraiVar,fra,iVar,iVar,"Une application de traitement des données de séquençage conçue pour les données d'amplicons viraux, qui supprime les amorces et peut éliminer les bases de mauvaise qualité.",NA,3.0.0,3.0.0,added in V3.0.0,
frajn17V,fra,jn17V,Variante JN.1.7,"La variante JN.1.7 du SARS-CoV-2, l'une des variantes FLiRT.",NA,2.0.0,2.0.0,added in V2.0.0,
frajn1V,fra,jn1V,Variante JN.1,"La variante JN.1 est une sous-variante de la variante Omicron BA.2.86, et contient plusieurs mutations qui sont associées à l'échappement à la protection immunitaire médiée par le vaccin. La source des variantes FLiRT du SARS-CoV-2.",NA,2.0.0,2.0.0,added in V2.0.0,
frak856r,fra,k856r,k856r cible de gène de la variante omicron,Gène cible k856r de la variante omicron.,NA,2.0.0,2.0.0,added in V2.0.0,
frakapaHyperPrep,fra,kapaHyperPrep,Kit KAPA HyperPrep,"Kit KAPA HyperPrep de Roche. Kit de préparation de bibliothèques optimisé pour des bibliothèques de haute qualité à partir d'ADN à faible quantité ou dégradé, couramment utilisé pour les plateformes Illumina.",NA,3.0.0,3.0.0,added in V3.0.0,
frakaptive,fra,kaptive,Kaptive,Kaptive. Identifie les sérotypes capsulaires (K) chez Klebsiella pneumoniae et les espèces apparentées à l'aide de données de séquençage du génome complet. Utile pour étudier la diversité des capsules et l'épidémiologie.,NA,3.0.0,3.0.0,added in V3.0.0,
frakgm3,fra,kgm3,Kilogramme par mètre cube,Kilogramme par mètre cube (kg/m^3),NA,3.0.0,3.0.0,added in V3.0.0,
frakgS,fra,kgS,Kilogrammes par seconde,Kilogrammes par seconde.,NA,1.0.0,2.0.0,description wording.,
frakl,fra,kl,Kilolitres,Kilolitres de volume,NA,2.0.0,2.0.0,added in V2.0.0,
fraklebsiellaGrp,fra,klebsiellaGrp,Groupe Klebsiella,Un groupe de mesures/méthodes relatives aux bactéries klbsielles.,Utilisé pour décrire les informations sur l'organisme pour les mesures générales.,2.2.0,2.2.0,added in V2.2.0,
fraklebsiellaPneu,fra,klebsiellaPneu,Klebsiella pneumoniae,Klebsiella pneumoniae,NA,2.2.0,2.2.0,added in V2.2.0,
frakneadData,fra,kneadData,KneadData,"Un pipeline de traitement des données de séquençage pour le contrôle qualité, y compris le rognage et la décontamination de l'hôte (utilise Trimmomatic et Bowtie2).",NA,3.0.0,3.0.0,added in V3.0.0,
frakp11V,fra,kp11V,Variante KP.1.1,"La variante KP.1.1 du SARS-CoV-2, l'une des variantes FLiRT.",NA,2.0.0,2.0.0,added in V2.0.0,
frakp1V,fra,kp1V,Variante KP.1,"La variante KP.1 du SARS-CoV-2, l'une des variantes FLiRT.",NA,2.0.0,2.0.0,added in V2.0.0,
frakp2V,fra,kp2V,Variante KP.2,"La variante KP.2 du SARS-CoV-2, l'une des variantes FLiRT.",NA,2.0.0,2.0.0,added in V2.0.0,
frakp311V,fra,kp311V,Variante KP.3.1.1,"Le variant KP.3.1.1 du SARS-CoV-2, l'un des variants FLiRT.",NA,3.0.0,3.0.0,added in V3.0.0,
frakp3V,fra,kp3V,Variante KP.3,"Le variant KP.3 du SARS-CoV-2, l'un des variants FLiRT.",NA,3.0.0,3.0.0,added in V3.0.0,
frakraken2,fra,kraken2,Kraken2,"Logiciel de déhosting qui classe les lectures par rapport à des bases de données de référence, utilisé pour filtrer les lectures hôtes.",NA,3.0.0,3.0.0,added in V3.0.0,
fral,fra,l,Litres,Litres de volume,NA,2.0.0,2.0.0,New variable in category,
fral24s,fra,l24s,Variante Omicron mutation l24s,Variante Omicron mutation l24s,NA,2.2.0,2.2.0,added in V2.2.0,
fral452r,fra,l452r,l452r cible de gène de la variante delta,Gène cible l452r de la variante delta.,NA,2.0.0,2.0.0,added in V2.0.0,
fral455s,fra,l455s,Mutation L455S de FLiRT/SLip,La mutation L455S de la variante FLiRT/SLip.,NA,2.2.0,2.2.0,added in V2.2.0,
fral981f,fra,l981f,l981f cible de gène de la variante omicron,Gène cible l981f de la variante omicron.,NA,2.0.0,2.0.0,added in V2.0.0,
frala,fra,la,Raccourci du tableau de référence des langues,"Nom abrégé utilisé pour faire référence à la table de référence pour toutes les langues, utilisée pour structurer la table de traduction.",table,2.2.2,2.2.2,added in V 2.2.2,
fralab,fra,lab,Laboratoire,Laboratoire d'analyse environnementale.,NA,2.0.0,2.0.0,added in V2.0.0,
fralabDefDep,fra,labDefDep,ID du laboratoire par défaut,"Identifiant de Lab utilisé par défaut quand un nouvel échantillon est créé par ce reporteur. Se référer é la colonne ""labID"" dans la table ""Lab""",NA,1.0.0,2.0.0,depreciated,
fralabDuplicate,fra,labDuplicate,Duplicate de laboratoire ,Deuxième traitement (ou plus) et analyse de l'échantillon. Généralement pour des analyses de chimie générale ou de métaux.,NA,2.0.0,2.0.0,added in V2.0; GitHub issue #94,
fralabel,fra,label,Étiquette,Une étiquette lisible par l'homme pour une partie. ,"Typiquement, une étiquette de partie n'a pas d'acrynoms (chaque mot est épelé). Equivalent à un nom commun en LOINC.",2.0.0,2.0.0,added in V2.0.0,
fralabID,fra,labID,ID du laboratoire,Identifiant unique pour le laboratoire.,NA,1.0.0,2.1.0,"description wording, structure",
fralachno3,fra,lachno3,Lachnospiraceae (Lachno3),"Bactéries associées à l'homme de la famille des Lachnospiraceae (Lachno3), souvent utilisées comme marqueurs de traçage des sources microbiennes pour le suivi de la pollution fécale humaine dans les eaux environnementales.",NA,3.0.0,3.0.0,added in V3.0.0,
fralAGC,fra,lAGC,Couverture génomique moyenne faible,La couverture moyenne du génome est faible/mauvaise.,NA,2.3.0,2.3.0,added in v 2.3.0,
fralagoon,fra,lagoon,Système de lagunage,Systéme de lagunage pour traitement des eaux usées.,NA,1.0.0,2.0.0,"description wording, structure",
fralake,fra,lake,"Lac, plan d'eau naturel","Lac, étendue d'eau naturelle.",NA,1.0.0,2.0.0,"description wording, structure",
fralamba,fra,lamba,Lambda,C.37,NA,2.0.0,2.0.0,added in V2.0.0,
fralandTH,fra,landTH,Pôle de transport terrestre,Un centre de transport est un lieu où les passagers et les marchandises sont transférés entre des véhicules terrestres et/ou entre différents modes de transport terrestres.,Utilisé lorsqu'aucun détail supplémentaire ne peut être fourni.,2.2.3,2.2.3,added in v2.2.3,
fralang,fra,lang,ID de la langue,"Code de langue à des fins de traduction. Spécifie la langue pour chaque traduction, autre que l'anglais par défaut.",Suivez les codes ISO639-3 pour le moment.,2.0.0,2.0.0,added in V2.0.0,
fralangFam,fra,langFam,Famille linguistique,Spécifie la famille linguistique à des fins de traduction et de suivi des langues.,Partie des metedata pour un languageID.,2.0.0,2.0.0,added in V2.0.0,
fralangName,fra,langName,Nom de la langue,Spécifie le nom de la langue en caractères de l'alphabet romain à des fins de traduction et de suivi linguistique.,Partie des metedata d'un languageID.,2.0.0,2.0.0,added in V2.0.0,
fralangScript,fra,langScript,Écriture de la langue nationale,Langue(s) et écriture(s) utilisée(s) pour les endonymes de la capitale du pays.,"Les scripts sont énumérés entre parenthèses, dans l'ordre de leur apparition. Préprogrammés dans les tables du dictionnaire, ils ne sont pas modifiables par les utilisateurs.",2.1.0,2.1.0,added in V2.1.0,
fralanguages,fra,languages,Table de recherche des langues,"Table de recherche pour toutes les langues, utilisée pour donner une structure à la table de traduction.",NA,2.0.0,2.0.0,added in V2.0.0,
fralanguagesOrder,fra,languagesOrder,L’ordre des colonnes de la table de langues,Indique l’ordre des colonnes dans une table de langue.,NA,2.0.0,2.0.0,added in V2.0.0,
fralanguagesRequired,fra,languagesRequired,En-têtes obligatoires de la table des langues,En-têtes obligatoires dans le tableau des langues.,NA,2.0.0,2.0.0,added in V2.0.0,
